image_id,split,y_true,y_pred,p,kappa
0,cal,0,0,0.023563293740153313,0.9764367341995239
1,test,0,0,0.0009201334905810654,0.9990798830986023
2,test,0,1,0.5345626473426819,0.5345626473426819
3,cal,1,1,0.9420488476753235,0.9420488476753235
4,cal,0,0,5.83136397835915e-07,0.9999994039535522
5,test,0,0,0.00035624581505544484,0.9996437430381775
6,test,0,0,0.36617884039878845,0.6338211297988892
7,cal,0,0,0.3879215717315674,0.6120784282684326
8,cal,0,0,0.00144494092091918,0.998555064201355
9,cal,0,0,0.00895499624311924,0.9910449981689453
10,cal,1,1,0.8570545315742493,0.8570545315742493
11,test,0,0,0.002461083000525832,0.9975389242172241
12,test,0,0,0.0015491143567487597,0.9984508752822876
13,test,0,0,0.004902971442788839,0.9950970411300659
14,cal,0,0,0.0021392828784883022,0.9978607296943665
15,test,0,0,0.21745233237743378,0.782547652721405
16,cal,0,0,0.0020727678202092648,0.9979272484779358
17,cal,0,0,0.003052483545616269,0.9969475269317627
18,cal,0,0,0.03107093647122383,0.9689290523529053
19,cal,0,0,0.02770056203007698,0.9722994565963745
20,cal,0,0,0.05850883200764656,0.9414911866188049
21,cal,1,1,0.9999309778213501,0.9999309778213501
22,cal,0,1,0.9510689377784729,0.9510689377784729
23,test,0,0,0.0032326688524335623,0.9967673420906067
24,test,0,0,0.0020758032333105803,0.9979242086410522
25,cal,0,0,0.008135529235005379,0.9918644428253174
26,cal,0,0,0.0033137358259409666,0.9966862797737122
27,cal,1,1,0.9894675612449646,0.9894675612449646
28,cal,0,0,0.029517045244574547,0.9704829454421997
29,cal,0,0,0.004207826219499111,0.9957921504974365
30,cal,0,0,0.011574830859899521,0.9884251952171326
31,test,0,0,0.002399036195129156,0.9976009726524353
32,test,0,0,0.010383986867964268,0.9896160364151001
33,cal,0,0,7.448019459843636e-05,0.9999254941940308
34,cal,0,0,0.12765300273895264,0.8723469972610474
35,cal,0,0,0.005762619897723198,0.9942373633384705
36,cal,0,0,0.00016266288002952933,0.999837338924408
37,cal,0,1,0.6210291981697083,0.6210291981697083
38,cal,0,0,0.017042946070432663,0.9829570651054382
39,cal,0,0,0.001725352369248867,0.9982746243476868
40,test,0,1,0.7825853824615479,0.7825853824615479
41,cal,0,0,0.016409773379564285,0.9835902452468872
42,test,0,0,0.05007684975862503,0.9499231576919556
43,cal,0,0,0.00026468816213309765,0.9997352957725525
44,cal,1,1,0.9755797386169434,0.9755797386169434
45,test,0,0,0.04040515795350075,0.9595948457717896
46,cal,0,0,0.0004143364494666457,0.9995856881141663
47,test,0,0,0.016870621591806412,0.9831293821334839
48,cal,0,0,1.366022729598626e-06,0.9999986290931702
49,cal,0,0,0.0012475799303501844,0.9987524151802063
50,cal,0,0,0.41222184896469116,0.5877781510353088
51,test,0,0,0.49632588028907776,0.5036741495132446
52,test,1,0,0.1447366178035736,0.855263352394104
53,cal,0,0,0.0012943143956363201,0.9987056851387024
54,cal,0,0,0.3673640191555023,0.6326359510421753
55,cal,0,0,0.23701980710029602,0.7629802227020264
56,cal,0,0,0.003298223251476884,0.9967017769813538
57,cal,0,0,0.005452686920762062,0.9945473074913025
58,cal,0,0,0.0015568643575534225,0.9984431266784668
59,test,0,0,0.0009852955117821693,0.999014675617218
60,test,0,0,1.0358135114074685e-05,0.9999896287918091
61,test,0,0,0.00024167800438590348,0.9997583031654358
62,cal,0,0,0.023786814883351326,0.9762131571769714
63,cal,0,0,0.26893559098243713,0.7310644388198853
64,cal,0,0,0.0010205012513324618,0.9989795088768005
65,cal,0,0,0.0003882146847900003,0.9996117949485779
66,test,0,0,0.07968109101057053,0.9203189015388489
67,cal,0,0,0.48791077733039856,0.5120892524719238
68,cal,0,0,0.0001505102845840156,0.9998494982719421
69,cal,0,1,0.6367222666740417,0.6367222666740417
70,test,0,1,0.6618078947067261,0.6618078947067261
71,cal,0,0,0.0016774294199422002,0.9983225464820862
72,cal,0,0,0.38934195041656494,0.6106580495834351
73,cal,0,0,0.12579888105392456,0.8742011189460754
74,cal,1,1,0.7164836525917053,0.7164836525917053
75,cal,0,0,0.0003363005234859884,0.9996637105941772
76,cal,0,1,0.6138662695884705,0.6138662695884705
77,cal,0,0,0.08783190697431564,0.9121680855751038
78,cal,0,0,0.003003666177392006,0.9969963431358337
79,cal,0,1,0.6288597583770752,0.6288597583770752
80,cal,0,0,0.08400879055261612,0.9159911870956421
81,test,0,0,0.23314687609672546,0.7668530941009521
82,cal,0,0,0.007333285175263882,0.9926667213439941
83,cal,0,0,0.14524266123771667,0.8547573089599609
